observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs7241;56;SC;SUL;30;23.08;2013;>= 3 anos;48;17683.79;1.79;4100.0;1640.0;14;N;N;EF;678;;;;;S;8;0.0
obs7737;68;RJ;SULDESTE;30;63.0;2022;0 Km;24;33669.05;0.0;16400.0;2501.0;8;N;N;EF;760;3.0;A4;BOM;A1;S;-1;0.0
obs272;44;MS;CENTRO-OESTE;30;27.99;2021;0 Km;49;66271.28;1.19;7828.87;3362.0;26;N;N;EF;678;2.0;A2;RUIM;B3;S;0;0.0
obs1079;45;PR;SUL;30;65.9;2021;0 Km;48;31092.52;0.78;4100.0;2583.0;19;N;N;EF;746;3.0;A2;BOM;A2;S;0;0.0
obs1612;41;CE;NORDESTE;30;60.61;2013;>= 3 anos;36;11700.51;1.21;4100.0;1435.0;10;S;N;EF;646;;;;;N;8;0.0
obs2191;37;PR;SUL;30;38.89;2022;0 Km;60;46672.95;0.9;4387.0;1312.0;24;N;N;EF;678;3.0;A2;RUIM;B3;S;-1;0.0
obs5312;48;SP;SULDESTE;30;0.0;2022;0 Km;60;44180.67;1.3;4920.0;1353.0;21;N;N;EF;742;3.0;A1;BOM;C3;N;-1;0.0
obs1562;73;GO;CENTRO-OESTE;30;40.73;2021;0 Km;60;24995.39;1.02;3280.0;1927.0;17;N;N;EF;760;3.0;A4;BOM;A3;S;0;0.0
obs7649;43;PR;SUL;30;16.32;2016;>= 3 anos;60;59301.01;1.44;9020.0;4264.0;16;N;N;EF;681;;;;;S;5;0.0
obs1394;54;SC;SUL;30;35.68;2021;0 Km;60;41390.77;1.27;3936.0;1927.0;26;S;N;EF;742;3.0;A1;BOM;B3;S;0;0.0
obs1315;60;PR;SUL;30;26.53;2021;0 Km;60;34805.94;1.39;4018.0;1599.0;22;N;N;EF;672;1.0;A4;BOM;B3;;0;0.0
obs7778;25;MT;CENTRO-OESTE;30;27.77;2022;0 Km;60;33312.05;1.62;3280.0;3403.0;27;N;N;EF;670;1.0;A1;BOM;B3;S;-1;0.0
obs5858;42;AM;NORTE;30;45.41;2021;0 Km;49;45876.03;1.35;7954.0;1886.0;0;N;N;EF;675;3.0;A1;RUIM;A3;S;0;0.0
obs8533;62;SP;SULDESTE;30;58.56;2021;0 Km;48;30170.11;0.57;8200.0;1722.0;0;N;N;EF;764;2.0;A4;BOM;A2;N;0;0.0
obs756;34;RO;NORTE;30;21.54;2021;0 Km;49;55699.52;0.93;4999.54;3239.0;32;N;N;EF;737;1.0;A2;BOM;B3;S;0;0.0
