observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs5390;44;SC;SUL;30;28.6;2022;0 Km;60;32946.66;1.02;5330.0;4469.0;14;N;N;EF;733;3.0;A4;BOM;B3;S;3;0.0
obs83;60;DF;CENTRO-OESTE;30;25.68;2021;0 Km;60;54267.06;1.47;8200.0;2050.0;16;N;N;EF;683;3.0;A2;RUIM;B3;S;4;0.0
obs22;58;CE;NORDESTE;30;54.98;2015;>= 3 anos;48;14505.91;1.01;4100.0;1804.0;9;S;N;EF;711;;;;;N;10;0.0
obs8121;40;PA;NORTE;30;23.59;2022;0 Km;49;46772.43;1.23;4018.0;492.0;36;N;N;EF;737;3.0;A2;BOM;B3;S;3;0.0
obs8069;49;AL;NORDESTE;30;36.52;2022;0 Km;49;36443.35;1.22;3280.0;1312.0;33;N;N;EF;746;3.0;A1;BOM;B3;N;3;0.0
obs4518;54;DF;CENTRO-OESTE;30;19.24;2012;>= 3 anos;36;18665.87;1.49;16400.0;16113.0;0;N;N;EF;675;;;;;N;13;0.0
obs6680;70;DF;CENTRO-OESTE;30;50.4;2022;0 Km;24;21421.47;0.67;6560.0;2829.0;14;N;N;EF;683;3.0;A2;RUIM;A1;S;3;0.0
obs7990;68;MG;SULDESTE;30;10.15;2013;>= 3 anos;48;25616.47;1.75;3034.0;1353.0;27;N;N;EF;671;;;;;S;12;0.0
obs8114;56;SP;SULDESTE;30;29.43;2022;0 Km;49;64017.67;0.9;5116.8;8282.0;0;N;N;EF;737;3.0;A4;BOM;B3;S;3;0.0
obs9067;34;MG;SULDESTE;30;41.48;2022;0 Km;36;27641.67;1.5;3690.0;861.0;27;N;N;EF;646;3.0;A2;RUIM;A1;N;3;0.0
obs9612;56;MG;SULDESTE;30;63.28;2022;0 Km;48;17688.31;0.88;8200.0;5986.0;5;N;N;EF;747;3.0;A4;BOM;A2;S;3;0.0
obs3093;37;PE;NORDESTE;30;63.54;2021;0 Km;18;33129.74;0.0;16400.0;1845.0;11;N;N;EF;706;1.0;A2;RUIM;A1;S;4;0.0
obs1778;44;SC;SUL;30;32.2;2021;0 Km;49;57846.66;0.88;7298.0;4223.0;21;N;N;EF;697;3.0;A4;PESS;B3;S;4;0.0
obs1939;39;SC;SUL;30;28.04;2021;0 Km;49;37446.67;1.16;4920.0;2624.0;23;N;N;EF;697;3.0;A2;BOM;B3;S;4;0.0
obs456;28;SC;SUL;30;50.0;2015;>= 3 anos;48;18684.34;1.2;4100.0;656.0;13;N;N;EF;693;;;;;N;10;0.0
obs1268;57;SP;SULDESTE;30;71.98;2021;0 Km;24;28508.61;0.0;16400.0;11767.0;7;N;N;EF;760;3.0;A4;BOM;A1;S;4;0.0
obs9503;75;CE;NORDESTE;30;28.17;2021;0 Km;49;58365.6;1.11;4756.0;3280.0;36;N;N;EF;664;3.0;A2;PESS;B3;S;4;0.0
obs5562;59;MG;SULDESTE;30;62.5;2015;>= 3 anos;24;13530.01;0.54;4100.0;1189.0;15;N;N;EF;709;;;;;S;10;0.0
obs4193;56;RJ;SULDESTE;30;27.71;2022;0 Km;37;31164.01;1.13;7544.0;6068.0;15;N;N;EF;751;3.0;A4;BOM;B2;S;3;0.0
obs1773;52;ES;SULDESTE;30;41.11;2021;0 Km;37;36634.7;1.14;4100.0;5945.0;0;N;N;EF;658;3.0;A4;PESS;A2;S;4;0.0
obs7544;55;SC;SUL;60;0.0;2018;>= 3 anos;60;45903.79;1.65;6560.0;1804.0;0;N;S;EF;660;;;;;S;7;0.0
